"code_bss_old","code_bss_new","point_name","code_insee","lon","lat","altitude","year_min","year_max","nb_gwlevel_obs","info_up_date"
"02636X0009/S1","BSS000ULRE","ALLUVIONS DE L'AUBE À LASSICOURT","10189",4.48889494028697,48.4427313215973,113.20,1969,2024,10701,"2024-12-04"
"02247X0032/F.A26","BSS000RWJQ","Craie à MAILLY-LE-CAMP","10216",4.182519378249,48.6886718850827,146.00,2010,2024,5223,"2024-12-04"
"02994X0092/D07L","BSS000WNDP","Sables de l'Apto-Albien à MORVILLIERS","10258",4.66041677252805,48.388780283451,145.00,1985,2024,13142,"2024-12-04"
"02617X0009/S1","BSS000UJHK","Craie à ORVILLIERS-SAINT-JULIEN","10274",3.83270777600826,48.4445741239267,101.00,1969,2024,11564,"2024-12-04"
"03693X0017/P2","BSS001ARUW","Calcaires du Portlandien à PRASLIN","10302",4.197586,48.044732,206.00,1976,2024,10804,"2024-12-04"
"02621X0085/PZ","BSS000UJXC","ALLUVIONS DE L'AUBE À RHEGES (NOUVEAU)","10316",3.99743122335256,48.5474513345438,84.00,1969,2024,8472,"2024-12-04"
"02615X0020/S1","BSS000UHZE","Craie à SAINT-HILAIRE-SOUS-ROMILLY","10341",3.619649,48.490061,146.00,1969,2024,7215,"2024-12-04"
"02972X0062/P","BSS000WJYJ","CRAIE À SAINT-LUPIEN","10348",3.70101,48.358729,130.00,2012,2024,4680,"2024-12-04"
"02626X0054/FO","BSS000UKWK","Craie à SAINT-REMY-SOUS-BARBUISE","10361",4.10362291354704,48.4749425665797,112.00,2002,2024,6531,"2024-12-04"
"02603X1064/P","BSS000UEWA","Craie à LA SAULSOTTE (nouveau)","10367",3.49974258424938,48.540438802268,77.00,1969,2024,12270,"2024-12-04"
"02982X0028/F","BSS000WKVT","Craie à VAILLY (nouveau)","10391",4.12389670741214,48.370374237425,140.00,1969,2024,10868,"2024-12-04"
"03336X0001/S1","BSS000YNLK","SABLES DE L'APTO-ALBIEN À LA VENDUE-MIGNOT","10402",4.09560657360651,48.1473986447301,137.70,1971,2024,10184,"2024-12-04"
"02974X0004/S1","BSS000WKBJ","Craie à VILLELOUP","10414",3.87387792245007,48.3587575801477,169.00,1969,2024,7738,"2024-12-04"
"10775X0004/S","BSS002MGKH","SOURCE DE FONT MAURE","11035",2.20295395870436,42.8430013136607,317.00,2018,2024,2242,"2024-12-04"
"10363X0002/F","BSS002KJRV","CHEMINIERES","11076",1.98522183051368,43.2984307091376,158.00,2018,2024,2374,"2024-12-04"
"10592X0012/AEP","BSS002LPYG","COUFFOULENS","11102",2.30965101281251,43.1558588996997,125.00,2004,2024,7377,"2024-12-04"
"10396X0075/AEP-F2","BSS002KMJM","AEP COURSAN","11106",3.050843,43.237138,7.00,2020,2024,1602,"2024-12-04"
"10396X0068/SADE","BSS002KMJE","CUXAC","11116",2.99035443100514,43.2411890834744,10.35,1974,2024,7244,"2024-12-04"
"10602X0001/111111","BSS002LQGJ","source de Font calel","11148",2.68700767684536,43.1614390673358,88.00,2002,2024,7528,"2024-12-04"
"10776X0024/LAUZET","BSS002MGPE","FORAGE COMMUNAL DE GRANES","11168",2.25149467485759,42.898313256122,390.00,2009,2024,3011,"2024-12-04"
"10603X0027/F","BSS002LQJK","LUC-SUR-ORBIEU","11210",2.78136753028468,43.1682169678397,51.00,2004,2024,7187,"2024-12-04"
"10601X0027/COUMAN","BSS002LQFW","MONTLAUR","11251",2.56882174642241,43.1235799011866,215.00,2004,2024,6729,"2024-12-04"
"10396X0162/F5","BSS002KMLK","MOUSSAN","11258",2.98372190926769,43.2312357785788,9.00,1993,2024,9682,"2024-12-04"
"10613X0036/INRA","BSS002LRCG","NARBONNE","11262",3.1334191403382,43.1475527152003,10.00,1974,2024,7889,"2024-12-04"
"10615X0047/F0","BSS002LREV","Forage Les Oubiels (Portel des Corbières-11)","11295",2.91207,43.05277,27.00,2009,2024,5270,"2024-12-04"
"10771X0017/F2","BSS002MGBK","FORAGE DÉPARTEMENTAL (ROQUETAILLADE - 11)","11323",2.18783816139935,42.9959953696493,270.00,1993,2024,10075,"2024-12-04"
