point_id,year,As [mg*kg-1],Ba [mg*kg-1],Be [mg*kg-1],Cd [mg*kg-1],Co [mg*kg-1],Cr [mg*kg-1],Cu [mg*kg-1],Hg [mg*kg-1],La [mg*kg-1],Li [mg*kg-1],Mn [mg*kg-1],Ni [mg*kg-1],Pb [mg*kg-1],Sr [mg*kg-1],V [mg*kg-1],Zn [mg*kg-1]
311,1995,,65.3,0.53,0.31,6.29,13.8,10.3,,16.7,10.9,473,18.4,16.8,12.7,34.7,36.7
311,2000,,62.3,0.45,0.25,5.76,12.6,8.7,,13.8,8.8,455,12.8,15.5,10.8,33.3,35.0
311,2005,,70.5,0.69,0.23,6.32,14.5,12.6,,17.2,11.5,471,21.0,15.3,12.8,41.9,40.2
311,2010,,70.6,0.49,0.23,6.14,15.0,8.8,,15.7,7.0,482,14.3,28.6,9.2,21.6,40.7
311,2015,7.04,45.4,0.7,0.18,6.46,16.2,9.5,0.02,17.2,9.1,412.0,15.0,13.6,7.3,20.7,35.1
311,2020,4.53,37.1,"<2,00","<0,50",4.09,11.5,4.29,"<0,100",15.54,"<10,00",251,9.99,11.5,"<10,00",14.4,25.1
313,1995,,107.7,0.33,0.36,4.37,12.0,15.2,,11.1,6.5,553,9.6,15.6,14.2,20.0,53.3
313,2000,,133.0,0.43,0.35,5.12,14.8,16.7,,10.7,8.2,623,10.8,16.4,14.7,23.3,56.7
313,2005,,98.2,0.33,0.3,5.78,11.3,16.5,,13.2,5.9,553,9.6,16.0,12.3,20.2,51.5
313,2010,,109.1,0.36,0.31,4.64,13.6,15.4,,11.9,4.3,706,11.4,17.2,11.9,16.7,63.4
313,2015,5.12,109.2,0.48,0.26,5.31,12.3,18.1,0.03,9.7,5.1,601.0,12.2,16.9,11.8,14.1,67.9
313,2020,4.9,91.5,"<2,00","<0,50",4.71,13.5,11.6,"<0,100",14.65,"<10,00",446,10.9,16.2,14.4,16.5,47
315,1995,,60.7,0.4,0.32,4.99,10.7,7.7,,18.2,2.9,453,9.2,15.6,17.4,17.0,48.3
315,2000,,63.0,0.47,0.4,5.12,12.0,9.2,,15.4,3.7,486,11.0,19.7,13.5,16.7,54.7
315,2005,,58.2,0.33,0.35,5.55,11.7,7.6,,15.7,4.0,536,9.0,20.0,13.6,20.5,61.0
315,2010,,70.0,0.42,0.46,5.49,13.3,15.0,,14.6,4.8,597,13.0,35.6,13.6,17.9,108.6
315,2015,6.26,58.7,0.39,0.39,5.68,13.0,9.5,0.05,15.0,5.5,582.0,11.8,23.7,9.9,18.3,77.3
315,2020,7.4,75.3,"<2,00","<0,50",5.87,15.7,11.5,"<0,100",19.16,"<10,00",614,12.1,25.3,"<10,00",19.4,80.3
317,1995,,99.3,0.57,0.71,14.4,21.2,23.0,,23.6,36.7,778,22.5,43.7,17.3,45.7,106.7
317,2000,,93.0,0.53,0.64,11.76,20.3,19.3,,22.5,38.8,695,26.7,38.3,16.7,50.3,101.7
317,2005,,90.6,0.43,0.66,15.39,22.5,17.1,,18.7,34.8,735,18.3,40.6,14.6,50.7,93.3
317,2010,,129.7,0.57,0.59,10.57,27.2,19.0,,17.9,23.4,676,23.2,45.6,16.3,48.3,106.7
317,2015,17.5,123.4,0.52,0.36,10.56,27.8,15.6,0.04,18.6,23.3,575.0,24.6,42.2,14.8,37.3,79.9
317,2020,12.8,80,"<2,00","<0,50",8.76,23.7,12.1,"<0,100",19.83,15,556,16.9,24.7,13.9,32.1,58.3
319,1995,,81.7,0.6,0.6,7.39,15.3,12.8,,23.1,14.3,532,13.5,19.6,23.2,28.3,61.7
319,2000,,72.3,0.57,0.53,7.23,15.0,14.0,,19.9,12.6,523,13.8,22.3,26.4,33.3,60.0
319,2005,,69.2,0.64,0.58,7.82,15.5,11.8,,14.4,11.3,493,12.6,20.0,21.6,24.9,67.6
319,2010,,74.7,0.48,0.3,6.75,15.2,12.2,,16.0,6.9,537,13.3,24.8,11.8,21.0,65.8
319,2015,7.64,56.8,0.46,0.31,7.32,15.7,11.1,0.06,14.4,6.5,520.0,15.4,23.3,10.8,21.6,65.2
319,2020,9.03,90.7,"<2,00","<0,50",7.88,22,12.7,"<0,100",20,"<10,00",588,16.3,22.7,20.7,28.3,69.4
321,1995,,47.3,0.2,0.36,3.36,7.3,5.2,,7.9,6.4,1033,5.5,19.9,5.2,20.0,43.3
321,2000,,55.3,0.27,0.44,3.65,8.0,5.3,,7.1,5.7,983,6.5,19.1,6.2,18.3,45.0
321,2005,,45.9,0.13,0.38,2.96,8.6,4.3,,7.6,5.1,945,6.0,17.6,4.4,15.0,38.2
321,2010,,57.1,0.21,0.34,3.38,6.8,5.4,,7.6,2.7,1054,6.0,19.0,4.2,12.5,55.0
321,2015,3.43,46.6,0.2,0.28,3.58,7.3,5.0,0.05,7.1,2.8,886.0,6.1,39.3,3.6,13.9,40.0
321,2020,3.51,57.6,"<2,00","<0,50",3.28,8.16,2.11,"<0,100",10.52,"<10,00",945,5.77,15.2,"<10,00",13.1,43.9
323,1995,,54.7,0.17,0.41,1.49,4.3,6.2,,3.1,2.8,198,3.2,19.1,9.4,4.0,51.7
323,2000,,46.3,0.2,0.33,1.42,5.8,5.8,,2.5,2.9,218,3.2,16.3,7.3,3.3,48.3
323,2005,,49.8,0.13,0.29,1.97,4.6,5.6,,2.9,3.8,210,4.0,19.7,8.2,4.4,46.5
323,2010,,48.1,0.16,0.22,1.41,4.3,5.5,,2.9,1.7,255,2.8,23.7,3.2,5.6,31.7
323,2015,4.99,47.7,0.17,0.23,1.68,5.7,8.3,0.04,3.4,2.3,262.0,3.8,34.4,3.5,7.1,32.6
323,2020,3.79,47.4,"<2,00","<0,50",1.38,4.4,5.66,"<0,100",3.98,"<10,00",155,2.93,13.8,"<10,00",5.17,45
325,1995,,59.7,0.33,0.45,1.79,9.8,6.7,,13.2,9.7,308,5.7,17.3,13.0,25.0,40.0
325,2000,,53.7,0.3,0.38,2.21,9.2,6.0,,10.2,8.1,330,5.6,18.1,11.9,26.7,48.3
325,2005,,60.6,0.3,0.41,2.36,7.9,8.9,,8.1,10.1,354,8.7,20.0,9.2,24.3,50.2
325,2010,,55.2,0.31,0.35,4.74,6.5,6.9,,7.7,3.7,580,6.2,24.3,5.0,10.6,45.5
325,2015,4.01,65.2,0.29,0.3,4.84,8.2,7.2,0.04,7.7,4.6,521.0,6.6,25.0,6.9,12.2,45.3
325,2020,4.38,64.2,"<2,00","<0,50",4.54,8.28,4.62,"<0,100",9.85,"<10,00",496,6.02,27.2,"<10,00",12.5,42.7
327,1995,,59.0,0.23,0.33,2.16,7.5,9.8,,8.3,4.8,640,4.8,20.8,7.6,15.0,41.7
