point_id,year,c/n [-],humus [%],organic_carbon [%],total_nitrogen [%]
167,2000,9.9,1.62,0.94,0.095
167,2005,10.0,1.47,0.85,0.089
167,2010,8.9,1.21,0.7,0.079
167,2015,7.9,1.9,1.1,0.14
167,2020,2.65,0.91,0.53,0.2
169,1995,12.0,1.26,0.73,0.061
169,2000,10.3,1.25,0.72,0.07
169,2005,11.3,1.19,0.69,0.061
169,2010,9.1,0.9,0.52,0.057
169,2015,6.6,1.14,0.66,0.1
169,2020,12.92,2.68,1.55,0.12
171,1995,10.3,1.78,1.03,0.1
171,2000,9.9,1.83,1.06,0.107
171,2005,11.0,1.66,0.96,0.087
171,2010,10.2,1.66,0.96,0.094
171,2015,11.0,2.09,1.21,0.11
171,2020,7.43,0.9,0.52,0.07
173,1995,17.7,2.3,1.33,0.075
173,2000,19.5,2.29,1.33,0.068
173,2005,20.8,2.26,1.31,0.063
173,2010,10.0,1.0,0.58,0.058
173,2015,12.8,1.76,1.02,0.08
173,2020,12.0,1.66,0.96,0.08
175,1995,12.6,0.93,0.54,0.043
175,2000,13.3,1.1,0.64,0.048
175,2005,14.4,0.97,0.56,0.039
175,2010,10.9,1.24,0.72,0.066
175,2015,10.8,1.31,0.76,0.07
175,2020,20.71,2.51,1.45,0.07
177,1995,8.4,2.06,1.19,0.142
177,2000,9.1,1.88,1.09,0.12
177,2005,11.4,1.91,1.1,0.096
177,2010,9.8,2.29,1.33,0.136
177,2015,9.3,1.92,1.11,0.12
177,2020,8.0,2.07,1.2,0.15
179,1995,18.2,1.07,0.62,0.034
179,2000,12.8,1.23,0.64,0.05
179,2005,16.3,1.3,0.75,0.046
179,2010,11.0,1.38,0.8,0.073
179,2015,13.2,2.05,1.19,0.09
179,2020,13.63,1.87,1.09,0.08
181,1995,12.8,1.89,1.1,0.086
181,2000,12.0,1.88,1.09,0.91
181,2005,12.9,1.77,1.03,0.08
181,2010,10.6,2.1,1.22,0.115
181,2015,10.7,1.85,1.07,0.1
181,2020,5.8,1.49,0.87,0.15
183,1995,13.5,2.13,1.23,0.091
183,2000,13.5,1.81,1.05,0.078
183,2005,14.2,2.26,1.31,0.092
183,2010,11.0,1.33,0.77,0.07
183,2015,10.5,1.45,0.84,0.08
183,2020,6.85,1.54,0.89,0.13
187,1995,11.5,1.8,1.04,0.09
187,2000,11.1,1.53,0.89,0.08
187,2005,11.2,1.46,0.85,0.076
187,2010,8.8,1.81,1.05,0.119
187,2015,9.1,1.73,1.0,0.11
187,2020,2.27272727,0.63,"<0,50",0.11
189,1995,8.4,1.73,1.0,0.119
189,2000,9.0,2.0,1.16,0.128
189,2005,11.5,1.93,1.12,0.097
189,2010,11.5,2.57,1.49,0.13
189,2015,12.5,2.59,1.5,0.12
