point_id,year,CaCo3 [%],pH_H2O [pH],pH_KCl [pH]
161,2015,,4.3,3.4
161,2020,0.14,4.9,4.2
163,1995,,5.8,4.4
163,2000,,6.0,4.6
163,2005,,5.6,4.3
163,2010,,5.6,4.3
163,2015,,5.5,4.4
163,2020,0.02,6.7,5.6
165,1995,,5.6,4.2
165,2000,,5.3,3.9
165,2005,,5.3,4.2
165,2010,,5.6,4.2
165,2015,,4.5,3.5
165,2020,0.03,7.2,6.8
167,1995,,6.6,5.5
167,2000,,6.6,5.4
167,2005,,6.3,5.2
167,2010,0.06,7.0,6.2
167,2015,,6.1,5.6
167,2020,0.4,7.2,6.8
169,1995,,6.0,4.6
169,2000,,5.7,4.3
169,2005,,5.5,4.3
169,2010,,5.8,4.2
169,2015,,5.5,4.4
169,2020,"<0,01",5.5,4.8
171,1995,,5.9,4.5
171,2000,,6.0,4.6
171,2005,,5.7,4.3
171,2010,,5.8,4.5
171,2015,,5.9,4.9
171,2020,0.15,5.0,4.2
173,1995,,5.5,4.1
173,2000,,6.0,4.4
173,2005,,5.6,4.4
173,2010,,5.5,4.2
173,2015,,5.7,4.6
173,2020,0.47,5.6,4.9
175,1995,,6.5,5.5
175,2000,,6.9,6.0
175,2005,,6.8,5.9
175,2010,,6.8,6.0
175,2015,,6.3,5.7
175,2020,0.02,7.4,7.2
177,1995,,6.2,4.9
177,2000,,6.4,4.8
177,2005,,6.2,4.8
177,2010,,6.5,5.7
177,2015,,6.7,5.9
177,2020,0.03,6.8,6.4
179,1995,0.37,7.3,6.6
179,2000,0.24,7.3,6.4
179,2005,0.12,6.9,6.2
179,2010,,6.4,5.4
179,2015,,6.4,5.8
179,2020,0.02,6.4,5.7
181,1995,,5.2,4.1
181,2000,,5.6,4.5
181,2005,,6.5,5.6
181,2010,0.08,6.8,6.1
181,2015,,6.5,5.6
181,2020,0.03,6.6,6.2
183,1995,,5.3,4.2
183,2000,,5.5,4.4
183,2005,,5.4,4.3
183,2010,,5.8,4.6
183,2015,,5.9,4.7
183,2020,0.02,5.7,4.9
187,1995,,6.8,5.9
187,2000,,6.7,5.6
187,2005,,6.7,5.7
187,2010,,5.9,5.0
187,2015,,5.6,4.6
187,2020,0.03,5.8,5.2
189,1995,0.04,6.9,6.5
189,2000,0.08,7.3,6.8
189,2005,0.06,7.0,6.4
189,2010,,6.6,5.8
189,2015,,6.4,5.7
189,2020,0.05,7.5,6.9
191,1995,,6.8,5.9
191,2000,,7.2,6.2
191,2005,,7.1,6.2
191,2010,0.17,7.1,6.4
191,2015,0.16,6.8,6.1
191,2020,0.02,6.7,6.1
193,1995,0.25,6.9,6.1
193,2000,0.16,6.6,5.7
193,2005,,6.5,5.5
193,2010,0.37,7.2,6.6
193,2015,0.87,7.2,6.8
193,2020,0.17,7.4,7.1
195,1995,,6.5,5.1
195,2000,,7.0,5.3
195,2005,,6.7,5.5
195,2010,,6.4,5.1
195,2015,,5.7,4.7
195,2020,0.04,5.1,4.2
197,1995,,6.5,5.3
197,2000,,7.0,5.6
197,2005,2.94,7.6,6.5
197,2010,,6.3,5.2
197,2015,,5.8,5.0
197,2020,0.03,6.0,5.5
199,1995,,6.7,5.7
199,2000,,6.8,5.5
199,2005,,6.6,5.3
199,2010,,6.4,5.2
199,2015,,5.7,4.6
199,2020,0.02,5.2,4.4
201,1995,,6.0,4.5
201,2000,,6.4,5.0
201,2005,,5.6,4.4
201,2010,,5.1,4.1
201,2015,,5.9,4.9
201,2020,0.03,6.8,6.2
203,1995,,7.1,6.0
203,2000,,7.3,6.3
203,2005,,7.0,6.1
203,2010,0.04,7.4,6.8
203,2015,,6.7,6.1
203,2020,0.02,6.5,5.9
205,1995,,4.7,3.6
205,2000,,5.3,3.9
205,2005,,6.1,5.1
205,2010,,5.5,4.2
205,2015,,4.1,3.1
205,2020,0.04,7.1,6.5
207,1995,,5.8,4.5
207,2000,,6.7,5.5
207,2005,,6.6,5.8
207,2010,0.04,7.0,6.1
207,2015,,6.4,5.7
207,2020,0.03,6.2,5.4
209,1995,,6.3,5.0
209,2000,,6.1,4.9
209,2005,,5.4,4.7
209,2010,,6.1,5.2
209,2015,,5.7,4.7
209,2020,0.03,6.3,5.6
211,1995,,6.7,5.6
211,2000,,7.0,6.0
211,2005,,6.8,5.8
211,2010,,6.3,5.2
211,2015,,5.8,4.8
211,2020,0.05,7.2,6.9
213,1995,,6.8,6.0
213,2000,,7.0,6.2
213,2005,,7.0,6.4
213,2010,0.04,6.7,5.9
213,2015,,6.3,5.7
213,2020,0.13,9.4,7.9
215,1995,,7.0,6.3
215,2000,,7.2,6.4
215,2005,,6.9,6.2
215,2010,0.04,7.3,6.7
215,2015,0.08,7.0,6.5
215,2020,0.02,7.1,6.8
217,1995,,6.5,5.4
217,2000,,6.5,5.2
