point_id,year,PAH_sum_13 [µg*kg-1],anthracene [µg*kg-1],benzo(a)anthracene [µg*kg-1],benzo(a)fluoranthene [µg*kg-1],benzo(a)pyrene [µg*kg-1],benzo(b)fluoranthene [µg*kg-1],benzo(ghi)perylene [µg*kg-1],benzo(k)fluoranthene [µg*kg-1],chrysene [µg*kg-1],dibenzo(a.h)anthracene [µg*kg-1],fluoranthene [µg*kg-1],fluorene [µg*kg-1],indeno(1.2.3-cd)pyrene [µg*kg-1],naphthalene [µg*kg-1],phenanthrene [µg*kg-1,pyrene [µg*kg-1]
369,2015,67.5,2.5,3.9,3.3,5.2,3.2,5.9,3.5,3.8,3.9,6.8,3.1,6.4,4.1,13.5,5.8
369,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
371,1995,93.0,,,,,,,,,,,,,,,
371,2000,151.0,,,,,,,,,,,,,,,
371,2005,124.0,,,,,,,,,,,,,,,
371,2010,151.0,,,,,,,,,,,,,,,
371,2015,89.4,2.7,5.2,3.6,6.6,4.1,7.3,4.5,5.8,4.1,10.9,2.9,7.7,2.5,18.5,9.1
371,2020,120,"<25,0",31,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",36,"<25,0",26,"<25,0","<25,0",27
373,1995,203.0,,,,,,,,,,,,,,,
373,2000,412.0,,,,,,,,,,,,,,,
373,2005,436.0,,,,,,,,,,,,,,,
373,2010,408.7,,,,,,,,,,,,,,,
373,2015,304.7,3.9,22.7,6.3,26.7,41.6,20.7,15.5,25.7,7.0,49.4,3.0,23.7,6.7,24.1,40.7
373,2020,340,"<25,0",35,41,47,"<25,0",26,38,38,"<25,0",68,"<25,0",34,"<25,0","<25,0",54
375,1995,279.0,,,,,,,,,,,,,,,
375,2000,296.0,,,,,,,,,,,,,,,
375,2005,195.0,,,,,,,,,,,,,,,
375,2010,174.6,,,,,,,,,,,,,,,
375,2015,94.2,2.2,6.3,3.4,9.2,4.8,8.5,5.6,7.9,3.7,13.6,1.8,9.6,2.5,9.3,11.8
375,2020,32,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",32,"<25,0","<25,0",29,"<25,0","<25,0"
377,1995,248.0,,,,,,,,,,,,,,,
377,2000,385.0,,,,,,,,,,,,,,,
377,2005,503.0,,,,,,,,,,,,,,,
377,2010,349.3,,,,,,,,,,,,,,,
377,2015,212.0,3.7,15.2,6.3,21.3,10.1,23.0,12.0,21.1,7.9,28.4,3.8,25.8,14.4,15.8,24.1
377,2020,91,"<25,0","<25,0",25,30,"<25,0","<25,0","<25,0","<25,0","<25,0",35,"<25,0","<25,0","<25,0","<25,0",26
379,1995,300.0,,,,,,,,,,,,,,,
379,2000,283.0,,,,,,,,,,,,,,,
379,2005,469.0,,,,,,,,,,,,,,,
379,2010,400.8,,,,,,,,,,,,,,,
379,2015,303.3,4.6,22.1,7.2,26.9,45.0,21.9,15.9,26.6,9.1,43.9,3.7,27.8,7.0,17.4,38.4
379,2020,313,"<25,0",26,47,48,"<25,0",32,37,36,"<25,0",53,"<25,0",38,"<25,0","<25,0",43
381,1995,168.0,,,,,,,,,,,,,,,
381,2000,240.0,,,,,,,,,,,,,,,
381,2005,248.0,,,,,,,,,,,,,,,
381,2010,328.8,,,,,,,,,,,,,,,
381,2015,1434.3,32.3,130.0,19.2,102.3,141.9,59.1,49.6,123.8,20.8,269.8,21.1,81.4,6.6,191.2,211.0
381,2020,100,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",35,"<25,0",37,"<25,0","<25,0",28
383,1995,150.0,,,,,,,,,,,,,,,
383,2000,175.0,,,,,,,,,,,,,,,
383,2005,164.0,,,,,,,,,,,,,,,
383,2010,153.4,,,,,,,,,,,,,,,
383,2015,140.8,3.8,8.7,5.5,13.0,8.0,13.6,9.0,11.5,7.1,18.2,3.5,17.3,8.2,11.6,15.6
383,2020,123,"<25,0","<25,0",29,27,"<25,0","<25,0","<25,0","<25,0","<25,0",39,"<25,0",27,26,"<25,0",30
385,1995,233.0,,,,,,,,,,,,,,,
385,2000,341.0,,,,,,,,,,,,,,,
385,2005,358.0,,,,,,,,,,,,,,,
385,2010,421.7,,,,,,,,,,,,,,,
385,2015,326.4,4.7,20.8,8.2,27.7,50.9,28.5,16.8,30.5,11.2,41.7,3.8,36.0,12.1,20.6,33.2
385,2020,28,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",28,"<25,0","<25,0","<25,0","<25,0","<25,0"
387,1995,602.0,,,,,,,,,,,,,,,
387,2000,372.0,,,,,,,,,,,,,,,
387,2005,432.0,,,,,,,,,,,,,,,
387,2010,488.5,,,,,,,,,,,,,,,
387,2015,339.8,4.0,20.6,7.6,35.2,58.2,30.6,20.7,31.5,9.2,37.7,4.1,37.5,4.1,15.7,34.7
387,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
389,1995,147.0,,,,,,,,,,,,,,,
389,2000,75.0,,,,,,,,,,,,,,,
389,2005,153.0,,,,,,,,,,,,,,,
389,2010,163.9,,,,,,,,,,,,,,,
389,2015,143.9,4.3,10.9,6.4,13.0,7.5,10.8,8.0,11.6,7.6,20.7,3.9,14.9,3.7,12.9,17.9
389,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
393,1995,277.0,,,,,,,,,,,,,,,
393,2000,219.0,,,,,,,,,,,,,,,
393,2005,142.0,,,,,,,,,,,,,,,
393,2010,102.9,,,,,,,,,,,,,,,
