point_id,year,organochlorine_pesticides_DDT/DDE/DDD [mg*kg-1],organochlorine_pesticides_aldrin [mg*kg-1],organochlorine_pesticides_alfa-HCH [mg*kg-1],organochlorine_pesticides_beta-HCH [mg*kg-1],organochlorine_pesticides_dieldrin [mg*kg-1],organochlorine_pesticides_endrin [mg*kg-1],organochlorine_pesticides_gamma-HCH [mg*kg-1],pesticides_non_chlorinated_compounds_atrazin [mg*kg-1],pesticides_non_chlorinated_compounds_carbaryl [mg*kg-1],pesticides_non_chlorinated_compounds_carbofuran [mg*kg-1]
345,2015,0.014,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
347,2015,0.019,0.012,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
349,2015,0.054,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
351,2015,0.011,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
353,2015,0.014,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
355,2015,0.029,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
357,2015,0.01,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
359,2015,0.016,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
361,2015,0.074,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
363,2015,0.163,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.008,"<0,001"
365,2015,0.031,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.002,"<0,001"
367,2015,0.021,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
369,2015,0.01,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001"
371,2015,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,0.001,"<0,001"
373,2015,0.011,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001","<0,001"
375,2015,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.002,"<0,001","<0,001"
377,2015,0.145,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.002,"<0,001","<0,001"
379,2015,0.082,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001","<0,001"
381,2015,0.055,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001",0.002,"<0,001","<0,001"
383,2015,0.004,"<0,001","<0,001",0.001,"<0,001","<0,001","<0,001",0.002,"<0,001","<0,001"
385,2015,0.117,"<0,001","<0,001","<0,001","<0,001","<0,001",0.002,0.003,0.013,"<0,001"
387,2015,0.029,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.002,"<0,001","<0,001"
389,2015,0.023,"<0,001","<0,001",0.001,"<0,001","<0,001","<0,001",0.002,"<0,001","<0,001"
393,2015,0.083,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
395,2015,0.022,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
397,2015,0.028,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
399,2015,0.114,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
401,2015,0.017,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
403,2015,0.019,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
405,2015,0.009,0.001,"<0,001",0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
407,2015,0.061,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
409,2015,0.004,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
411,2015,0.002,0.004,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
413,2015,0.002,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
415,2015,0.008,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
417,2015,0.199,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
419,2015,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
421,2015,0.024,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
423,2015,0.026,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
425,2015,0.003,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
427,2015,0.005,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
429,2015,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
431,2015,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
433,2015,0.021,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
435,2015,0.028,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
437,2015,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
439,2015,0.004,"<0,001","<0,001",0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
441,2015,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
443,2015,0.008,"<0,001","<0,001",0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
445,2015,0.016,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
447,2015,0.016,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
449,2015,0.010,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
