point_id,year,Al [%],Ca [%],Fe [%],K [%],Mg [%],Na [%],P [%],S [%]
81,2020,0.87,0.15,0.98,0.16,0.13,0.004,0.042,0.022
83,1995,0.6,0.04,0.48,0.05,0.04,0.007,0.059,0.02
83,2000,0.5,0.04,0.46,0.04,0.04,0.005,0.051,0.016
83,2005,0.46,0.06,0.42,0.04,0.03,0.009,0.048,0.021
83,2010,0.36,0.04,0.44,0.03,0.04,0.002,0.042,0.021
83,2015,0.31,0.02,0.4,0.03,0.04,0.003,0.04,0.013
83,2020,0.8,0.23,1.23,0.11,0.12,0.005,0.05,0.008
85,1995,0.38,0.07,0.3,0.03,0.04,0.004,0.032,0.026
85,2000,0.27,0.07,0.28,0.03,0.03,0.004,0.026,0.025
85,2005,0.27,0.06,0.29,0.03,0.02,0.005,0.05,0.027
85,2010,0.24,0.02,0.35,0.03,0.02,0.001,0.042,0.024
85,2015,0.14,0.04,0.22,0.02,0.01,0.002,0.04,0.021
85,2020,2.0,0.31,2.73,0.27,0.56,0.006,0.043,0.025
87,1995,0.86,0.24,0.81,0.09,0.17,0.012,0.065,0.017
87,2000,0.6,0.27,0.67,0.06,0.16,0.008,0.056,0.019
87,2005,0.6,0.21,0.67,0.05,0.17,0.009,0.06,0.022
87,2010,0.3,0.06,0.41,0.04,0.05,0.002,0.06,0.02
87,2015,0.34,0.11,0.54,0.03,0.06,0.006,0.02,0.02
87,2020,0.5,0.09,0.72,0.09,0.11,0.005,0.04,0.008
89,1995,0.68,0.18,0.7,0.14,0.16,0.009,0.049,0.01
89,2000,0.58,0.18,0.71,0.12,0.13,0.006,0.05,0.013
89,2005,0.74,0.14,1.05,0.23,0.2,0.007,0.047,0.015
89,2010,0.46,0.16,0.85,0.11,0.12,0.002,0.043,0.021
89,2015,0.8,1.81,1.19,0.22,0.45,0.007,0.07,0.018
89,2020,0.89,0.16,0.98,0.17,0.15,0.005,0.045,0.01
91,1995,0.6,0.14,0.53,0.06,0.08,0.007,0.079,0.014
91,2000,0.47,0.11,0.51,0.05,0.05,0.005,0.089,0.014
91,2005,0.5,0.11,0.47,0.04,0.04,0.005,0.088,0.017
91,2010,0.34,0.12,0.42,0.04,0.05,0.003,0.077,0.015
91,2015,0.33,0.04,0.48,0.06,0.05,0.007,0.05,0.016
91,2020,0.3,0.07,0.24,0.05,0.04,0.003,0.033,0.01
93,1995,0.62,0.15,0.54,0.09,0.07,0.006,0.059,0.017
93,2000,0.6,0.11,0.5,0.07,0.07,0.005,0.05,0.013
93,2005,0.53,0.12,0.53,0.06,0.08,0.008,0.064,0.016
93,2010,0.39,0.13,0.51,0.07,0.07,0.006,0.068,0.011
93,2015,0.44,0.11,0.45,0.08,0.07,0.009,0.06,0.017
93,2020,0.4,0.19,0.43,0.07,0.15,0.011,0.046,0.007
95,1995,0.7,0.09,0.65,0.12,0.13,0.008,0.016,0.005
95,2000,0.85,0.12,0.8,0.14,0.16,0.006,0.025,0.005
95,2005,0.6,0.09,0.62,0.1,0.1,0.01,0.03,0.008
95,2010,0.34,0.07,0.52,0.08,0.07,0.004,0.035,0.006
95,2015,0.38,0.05,0.48,0.06,0.08,0.004,0.03,0.01
95,2020,0.25,0.02,0.2,0.02,0.02,0.001,0.053,0.013
97,1995,0.98,0.17,0.85,0.15,0.09,0.009,0.043,0.015
97,2000,0.73,0.15,0.85,0.11,0.09,0.006,0.05,0.019
97,2005,0.77,0.14,0.87,0.11,0.08,0.009,0.06,0.015
97,2010,0.37,0.13,0.89,0.11,0.07,0.004,0.056,0.013
97,2015,0.73,0.17,1.14,0.17,0.14,0.006,0.03,0.019
97,2020,0.3,0.08,0.37,0.1,0.14,0.003,0.025,0.013
99,1995,0.64,0.31,0.57,0.12,0.11,0.016,0.061,0.016
99,2000,0.48,0.26,0.5,0.07,0.09,0.013,0.053,0.016
99,2005,0.44,0.31,0.67,0.07,0.09,0.011,0.055,0.021
99,2010,0.49,0.27,0.71,0.11,0.12,0.004,0.073,0.02
99,2015,0.4,0.26,0.66,0.08,0.09,0.008,0.07,0.022
99,2020,0.31,0.03,0.26,0.02,0.03,0.001,0.026,0.004
101,1995,0.42,0.13,0.41,0.04,0.04,0.006,0.061,0.012
101,2000,0.38,0.2,0.37,0.04,0.05,0.005,0.056,0.016
101,2005,0.39,0.2,0.42,0.05,0.07,0.008,0.069,0.017
101,2010,0.3,0.12,0.43,0.04,0.04,0.003,0.075,0.015
101,2015,0.3,0.14,0.42,0.04,0.04,0.005,0.06,0.013
101,2020,0.69,0.2,0.69,0.09,0.42,0.01,0.06,0.01
103,1995,0.55,0.09,0.54,0.08,0.07,0.007,0.035,0.009
103,2000,0.41,0.07,0.46,0.08,0.07,0.006,0.028,0.018
103,2005,0.41,0.09,0.53,0.07,0.06,0.007,0.04,0.011
103,2010,0.3,0.1,0.52,0.08,0.06,0.006,0.042,0.013
103,2015,0.22,0.08,0.43,0.05,0.05,0.004,0.04,0.013
103,2020,1.49,0.25,2.18,0.22,0.33,0.004,0.084,0.01
105,1995,0.96,0.13,0.93,0.12,0.08,0.01,0.041,0.012
105,2000,0.87,0.16,1.04,0.1,0.09,0.007,0.034,0.016
105,2005,0.96,0.13,1.1,0.13,0.08,0.013,0.043,0.017
105,2010,0.66,0.1,1.17,0.08,0.08,0.007,0.041,0.017
105,2015,0.47,0.07,0.93,0.07,0.07,0.005,0.04,0.016
105,2020,0.5,0.19,0.75,0.08,0.08,0.005,0.065,0.014
107,1995,0.37,0.11,0.42,0.05,0.07,0.005,0.039,0.021
107,2000,0.33,0.14,0.45,0.06,0.08,0.006,0.046,0.02
107,2005,0.27,0.14,0.44,0.03,0.07,0.005,0.046,0.017
107,2010,0.27,0.11,0.46,0.05,0.07,0.004,0.031,0.011
107,2015,0.29,0.11,0.44,0.05,0.06,0.004,0.03,0.009
107,2020,0.56,0.21,0.57,0.07,0.09,0.005,0.045,0.007
111,1995,0.47,0.11,0.41,0.07,0.08,0.006,0.039,0.02
111,2000,0.36,0.09,0.43,0.06,0.07,0.005,0.04,0.02
111,2005,0.38,0.12,0.5,0.06,0.07,0.007,0.048,0.014
111,2010,0.28,0.08,0.42,0.06,0.07,0.005,0.038,0.01
111,2015,0.27,0.06,0.35,0.05,0.05,0.005,0.04,0.011
111,2020,0.44,0.07,0.38,0.06,0.06,0.004,0.063,0.01
113,1995,0.56,0.11,0.59,0.12,0.1,0.008,0.036,0.021
113,2000,0.5,0.13,0.59,0.12,0.11,0.007,0.029,0.02
113,2005,0.46,0.1,0.56,0.09,0.07,0.008,0.04,0.016
113,2010,0.32,0.11,0.6,0.13,0.09,0.004,0.041,0.011
113,2015,0.35,0.1,0.54,0.08,0.08,0.004,0.04,0.011
113,2020,0.85,0.39,0.89,0.13,0.12,0.005,0.036,0.008
115,1995,0.79,0.21,0.77,0.17,0.18,0.008,0.055,0.026
115,2000,0.8,0.24,0.85,0.17,0.15,0.011,0.06,0.023
115,2005,0.78,0.28,0.85,0.22,0.17,0.015,0.051,0.026
115,2010,0.47,0.17,0.86,0.23,0.12,0.002,0.038,0.015
115,2015,0.67,0.17,0.87,0.18,0.14,0.008,0.03,0.017
115,2020,1.82,0.46,2.87,0.31,0.68,0.007,0.079,0.013
117,1995,0.88,0.17,0.94,0.25,0.19,0.013,0.036,0.012
117,2000,0.75,0.16,0.85,0.26,0.14,0.008,0.028,0.012
117,2005,0.75,0.16,0.93,0.26,0.12,0.013,0.035,0.011
117,2010,0.74,0.2,1.17,0.21,0.18,0.007,0.047,0.019
117,2015,0.95,0.2,1.13,0.26,0.21,0.005,0.05,0.017
117,2020,1.08,0.37,1.15,0.17,0.2,0.006,0.035,0.013
119,1995,0.49,0.12,0.62,0.1,0.09,0.006,0.062,0.011
119,2000,0.44,0.15,0.51,0.13,0.08,0.007,0.059,0.013
119,2005,0.34,0.12,0.47,0.04,0.07,0.005,0.055,0.014
119,2010,0.25,0.1,0.49,0.06,0.06,0.003,0.041,0.011
119,2015,0.33,0.1,0.47,0.06,0.06,0.004,0.04,0.011
119,2020,0.35,0.2,0.48,0.07,0.11,0.003,0.089,0.007
121,1995,0.74,0.27,0.78,0.18,0.15,0.012,0.019,0.007
121,2000,0.68,0.26,0.87,0.18,0.15,0.007,0.023,0.008
121,2005,0.58,0.25,0.83,0.16,0.13,0.007,0.03,0.01
121,2010,0.44,0.17,0.78,0.14,0.12,0.006,0.043,0.009
121,2015,0.43,0.2,0.61,0.12,0.1,0.004,0.04,0.014
121,2020,0.44,0.12,0.5,0.07,0.1,0.014,0.03,0.013
123,1995,0.54,0.15,0.46,0.1,0.09,0.01,0.016,0.01
123,2000,0.47,0.12,0.36,0.06,0.07,0.006,0.013,0.014
123,2005,0.49,0.15,0.54,0.13,0.08,0.011,0.018,0.01
123,2010,0.27,0.08,0.44,0.08,0.08,0.006,0.048,0.021
123,2015,0.38,1.03,0.51,0.11,0.1,0.004,0.05,0.02
123,2020,0.74,0.21,0.79,0.15,0.14,0.012,0.051,0.028
125,1995,1.11,0.26,1.08,0.26,0.21,0.012,0.022,0.02
125,2000,0.88,0.27,0.94,0.19,0.16,0.007,0.03,0.016
125,2005,0.99,0.34,0.95,0.16,0.14,0.007,0.036,0.019
125,2010,0.54,0.33,0.83,0.15,0.16,0.005,0.038,0.015
125,2015,0.87,0.3,0.85,0.23,0.18,0.009,0.04,0.021
125,2020,1.22,0.14,1.51,0.23,0.32,0.005,0.043,0.019
127,1995,0.28,0.14,0.25,0.03,0.06,0.005,0.068,0.015
127,2000,0.29,0.12,0.22,0.05,0.05,0.004,0.054,0.018
127,2005,0.26,0.14,0.21,0.02,0.08,0.003,0.054,0.015
127,2010,0.18,0.03,0.19,0.02,0.02,0.006,0.049,0.012
127,2015,0.23,0.02,0.21,0.01,0.02,0.003,0.05,0.016
127,2020,0.21,0.08,0.28,0.05,0.05,0.002,0.02,0.01
129,1995,0.86,0.39,0.84,0.14,0.16,0.01,0.055,0.012
129,2000,0.76,0.32,0.85,0.14,0.13,0.007,0.056,0.014
129,2005,0.86,0.27,0.75,0.12,0.1,0.006,0.048,0.017
129,2010,0.49,0.21,0.8,0.11,0.11,0.009,0.039,0.013
129,2015,0.5,0.2,0.7,0.1,0.1,0.005,0.04,0.017
129,2020,0.58,0.17,0.71,0.11,0.21,0.009,0.035,0.006
131,1995,1.43,0.68,1.01,0.17,0.27,0.015,0.057,0.034
131,2000,1.66,0.6,0.88,0.15,0.22,0.016,0.048,0.03
131,2005,1.77,0.62,0.84,0.12,0.25,0.011,0.04,0.026
131,2010,0.41,0.11,0.73,0.1,0.1,0.007,0.062,0.018
131,2015,0.39,0.1,0.73,0.09,0.1,0.005,0.05,0.013
