point_id,year,radioactivity [Bq*kg-1],soil_electrical_conductivity [mS*m-1],soil_salinity [mg KCl*100g-1]
191,2015,804.0,6.68,17.64
191,2020,722.0,7.57575757,20.0
193,1995,680.0,11.48,29.6
193,2000,734.0,13.3,35.1
193,2005,772.0,12.1,31.9
193,2010,770.0,10.62,28.04
193,2015,834.0,12.91,34.08
193,2020,590.0,21.9696969,58.0
195,1995,537.0,4.76,12.6
195,2000,446.0,4.3,11.3
195,2005,585.0,13.6,39.8
195,2010,656.0,5.0,13.21
195,2015,928.0,7.02,18.53
195,2020,565.0,14.0151515,37.0
197,1995,772.0,5.19,13.7
197,2000,683.0,6.8,17.9
197,2005,710.0,8.3,21.6
197,2010,821.0,6.42,16.95
197,2015,662.0,9.75,25.74
197,2020,853.0,17.8030303,47.0
199,1995,397.0,5.19,13.7
199,2000,315.0,5.2,13.7
199,2005,330.0,4.4,11.5
199,2010,426.0,5.39,14.23
199,2015,455.0,6.66,17.58
199,2020,379.0,18.560606,49.0
201,1995,289.0,3.72,9.8
201,2000,276.0,5.1,13.5
201,2005,312.0,5.2,13.7
201,2010,313.0,4.18,11.05
201,2015,134.0,6.38,16.84
201,2020,707.0,13.2575757,35.0
203,1995,467.0,5.62,14.8
203,2000,349.0,7.8,19.5
203,2005,370.0,6.0,15.8
203,2010,215.0,7.19,18.98
203,2015,589.0,6.54,17.27
203,2020,413.0,7.57575757,20.0
205,1995,402.0,4.32,11.4
205,2000,395.0,4.8,12.7
205,2005,404.0,6.2,16.5
205,2010,479.0,4.43,11.7
205,2015,225.0,5.89,15.55
205,2020,546.0,4.16666666,11.0
207,1995,922.0,6.57,17.3
207,2000,834.0,5.1,13.5
207,2005,803.0,9.8,25.9
207,2010,765.0,12.65,33.39
207,2015,1121.0,10.07,26.58
207,2020,811.0,15.1515151,40.0
209,1995,769.0,3.87,10.2
209,2000,877.0,5.1,13.5
209,2005,840.0,21.0,55.4
209,2010,636.0,7.7,20.33
209,2015,665.0,8.98,23.71
209,2020,896.0,23.8636363,63.0
211,1995,533.0,5.54,14.6
211,2000,602.0,8.1,21.4
211,2005,562.0,11.4,30.1
211,2010,354.0,5.1,13.46
211,2015,260.0,4.98,13.15
211,2020,324.0,18.1818181,48.0
213,1995,467.0,16.87,44.5
213,2000,478.0,15.5,40.9
213,2005,446.0,15.8,44.8
213,2010,423.0,5.64,14.88
213,2015,256.0,11.71,30.91
