point_id,year,available ammonium nitrogen[NNH4 mg*kg-1],available magnesium [mg Mg*100g-1],available nitrate nitrogen [NNO3 mg*kg-1],available phosphorus [mg P2O5* 100g-1],available potassium [mg K2O*100g-1],available sulphur [mg S-SO4*100g-1]
155,2000,,1.8,,21.2,10.2,1.13
155,2005,,2.2,,23.4,24.2,1.13
155,2010,,1.3,,16.2,5.2,1.1
155,2015,4.36,1.4,1.43,15.1,6.8,0.55
155,2020,12.5,2.9,3.5,14.6,2.4,2.8
157,1995,,3.2,,8.0,3.4,1.25
157,2000,,1.9,,11.4,7.8,1.38
157,2005,,3.7,,10.0,6.3,1.13
157,2010,,1.5,,13.7,6.4,1.25
157,2015,7.89,8.0,25.84,25.6,30.4,5.75
157,2020,2.4,7.1,7,16.8,7.3,"<1,00"
159,1995,,5.6,,4.4,4.1,1.88
159,2000,,4.8,,3.2,3.6,1.58
159,2005,,3.7,,3.8,5.1,1.39
159,2010,,2.3,,3.9,5.7,1.15
159,2015,14.6,2.0,3.34,2.7,5.5,0.43
159,2020,2.2,7.8,32.7,35.2,8.8,2.2
161,1995,,1.9,,16.0,12.6,1.62
161,2000,,1.6,,13.6,8.3,1.38
161,2005,,2.2,,11.6,7.4,1.08
161,2010,,1.3,,16.6,7.6,0.94
161,2015,4.31,2.4,25.97,13.7,11.9,0.67
161,2020,1.0,2.4,32.0,9.0,7.9,3.8
163,1995,,2.6,,14.4,6.6,1.38
163,2000,,3.1,,17.9,10.1,1.63
163,2005,,4.2,,13.0,11.0,1.13
163,2010,,2.8,,19.7,12.5,0.64
163,2015,5.64,4.7,11.15,18.6,12.8,0.47
163,2020,17.3,4.7,2.5,23.2,16.5,2.4
165,1995,,2.4,,7.4,10.8,2.25
165,2000,,1.6,,5.7,8.7,1.88
165,2005,,2.6,,6.7,12.9,1.8
165,2010,,3.6,,9.4,11.5,1.36
165,2015,4.3,3.7,14.97,6.0,13.3,0.64
165,2020,2.4,15.8,35.9,18.5,17.1,1.8
167,1995,,10.0,,8.2,21.5,0.75
167,2000,,8.5,,6.7,18.9,0.63
167,2005,,8.7,,5.6,18.4,1.13
167,2010,,4.1,,23.8,16.1,1.01
167,2015,15.27,4.8,86.63,41.8,21.9,1.36
167,2020,2.4,19.9,35.5,34.6,64.8,1.3
169,1995,,3.2,,6.5,13.1,0.75
169,2000,,3.2,,6.0,10.7,0.88
169,2005,,3.3,,5.0,12.7,0.63
169,2010,,1.0,,6.0,10.3,1.38
169,2015,6.83,2.0,"<1,00",5.6,11.7,0.53
169,2020,18.0,1.7,38.8,12.3,5.3,6.51
171,1995,,3.4,,10.3,10.2,0.75
171,2000,,2.5,,9.5,13.5,0.6
171,2005,,2.5,,6.8,12.8,1.13
171,2010,,3.2,,7.3,12.8,0.8
171,2015,16.05,4.3,4.28,9.6,16.0,0.75
171,2020,2.7,1.9,24.1,8.5,5.4,2.6
173,1995,,4.0,,9.2,11.1,0.63
173,2000,,4.2,,7.9,12.1,0.5
173,2005,,5.1,,9.1,17.6,0.75
173,2010,,2.2,,9.4,10.3,0.74
173,2015,19.42,4.5,5.22,7.5,14.1,0.93
173,2020,1.0,5.9,33.3,10.0,9.1,3.0
175,1995,,1.2,,14.2,4.5,0.58
175,2000,,1.4,,16.7,7.7,0.5
175,2005,,2.2,,32.0,9.2,0.5
175,2010,,1.7,,18.6,10.3,0.68
175,2015,5.93,1.3,6.63,18.9,13.6,0.8
175,2020,1.0,3.9,33.1,16.6,12.9,1.9
177,1995,,5.5,,5.4,14.4,1.15
177,2000,,4.1,,4.5,11.8,1.2
177,2005,,10.7,,4.2,17.6,1.48
177,2010,,12.9,,8.0,33.1,1.24
177,2015,16.38,11.7,6.13,10.2,18.5,0.98
177,2020,3.5,10.0,34.3,14.3,30.5,2.0
179,1995,,2.4,,16.6,13.5,1.25
179,2000,,2.2,,15.0,10.9,1.25
179,2005,,3.7,,20.5,10.9,1.05
179,2010,,2.3,,11.3,12.4,0.82
179,2015,9.32,4.1,4.37,17.3,33.0,0.85
179,2020,2.2,2.1,33.4,17.6,14.9,2.0
181,1995,,1.7,,8.0,10.3,0.98
181,2000,,3.0,,7.6,14.5,1.2
181,2005,,4.5,,11.8,19.6,0.75
181,2010,,18.6,,9.1,26.4,0.84
181,2015,15.93,9.8,6.91,8.9,22.5,1.51
181,2020,2.2,14.8,32.4,9.7,26.5,2.0
183,1995,,1.7,,8.0,10.9,1.5
183,2000,,2.2,,8.7,8.4,1.42
183,2005,,2.3,,6.9,10.3,1.5
183,2010,,4.6,,3.1,8.1,1.03
183,2015,13.04,3.8,1.75,5.7,15.2,0.62
183,2020,12.1,6.8,32.0,9.6,45.7,2.7
187,1995,,3.9,,11.0,13.6,1.75
187,2000,,4.6,,10.4,13.7,1.57
187,2005,,28.8,,12.5,14.9,1.33
187,2010,,3.7,,12.6,18.0,1.32
187,2015,9.88,3.1,10.12,4.8,9.5,1.21
