point_id,year,BN-78/9180-11: 1.0-0.1 mm [%],BN-78/9180-11: 0.1-0.02 mm [%],BN-78/9180-11: < 0.02 mm [%],PTG 2008: 0.05-0.002 mm [%],PTG 2008: 2.0-0.05 mm [%],PTG 2008: < 0.002 mm [%]
133,2005,67.0,19.0,14.0,,,4.0
133,2010,66.0,14.0,20.0,22.0,74.0,4.0
133,2015,67.0,15.0,18.0,22.0,74.0,4.0
133,2020,49.0,22.0,29.0,30.0,60.0,10.0
135,1995,57.0,25.0,18.0,,,6.0
135,2000,56.0,24.0,20.0,,,5.0
135,2005,55.0,26.0,19.0,,,6.0
135,2010,53.0,27.0,20.0,27.0,70.0,3.0
135,2015,54.0,27.0,19.0,28.0,69.0,3.0
135,2020,61.0,24.0,15.0,22.0,73.0,5.0
137,1995,65.0,22.0,13.0,,,2.0
137,2000,66.0,22.0,12.0,,,4.0
137,2005,65.0,21.0,14.0,,,3.0
137,2010,67.0,20.0,13.0,17.0,81.0,2.0
137,2015,65.0,23.0,12.0,18.0,80.0,2.0
137,2020,43.0,32.0,25.0,42.0,54.0,4.0
139,1995,73.0,17.0,10.0,,,2.0
139,2000,69.0,21.0,10.0,,,4.0
139,2005,69.0,19.0,12.0,,,1.0
139,2010,70.0,17.0,13.0,20.0,79.0,1.0
139,2015,64.0,25.0,11.0,23.0,76.0,1.0
139,2020,50.0,21.0,29.0,35.0,61.0,4.0
141,1995,64.0,23.0,13.0,,,4.0
141,2000,63.0,22.0,15.0,,,4.0
141,2005,59.0,26.0,15.0,,,3.0
141,2010,85.0,9.0,6.0,8.0,91.0,1.0
141,2015,83.0,10.0,7.0,9.0,89.0,2.0
141,2020,60.0,22.0,18.0,21.0,75.0,4.0
143,1995,65.0,19.0,16.0,,,7.0
143,2000,61.0,21.0,18.0,,,6.0
143,2005,65.0,19.0,16.0,,,5.0
143,2010,63.0,16.0,21.0,18.0,74.0,8.0
143,2015,65.0,18.0,17.0,15.0,77.0,8.0
143,2020,65.0,20.0,15.0,15.0,79.0,6.0
145,1995,67.0,16.0,17.0,,,4.0
145,2000,63.0,20.0,17.0,,,5.0
145,2005,60.0,23.0,17.0,,,2.0
145,2010,56.0,30.0,14.0,26.0,73.0,1.0
145,2015,64.0,21.0,15.0,22.0,77.0,1.0
145,2020,46.0,36.0,18.0,31.0,58.0,11.0
147,1995,60.0,24.0,16.0,,,4.0
147,2000,66.0,18.0,16.0,,,6.0
147,2005,44.0,29.0,27.0,,,5.0
