,Name,Code,Value,coordinates,lat,lon
151150150,"NOWA SÓL,Poland",Odra (1),60,"(51.8019595, 15.7175608)",51.8019595, 15.7175608
152150130,"CIGACICE,Poland",Odra (1),70,"(52.0340235, 15.6167729)",52.0340235, 15.6167729
152150050,"NIETKÓW,Poland",Odra (1),71,"(52.0265368, 15.3448986)",52.0265368, 15.3448986
152140130,"POŁĘCKO,Poland",Odra (1),80,"(52.0540179, 14.8933575)",52.0540179, 14.8933575
152140090,"BIAŁA GÓRA,Poland",Odra (1),85,"(53.5076459, 19.6430986)",53.5076459, 19.6430986
152140050,"SŁUBICE,Poland",Odra (1),90,"(52.3557481, 14.5662367)",52.3557481, 14.5662367
152140060,"KOSTRZYN NAD ODRĄ,Poland",Odra (1),95,"(52.5898737, 14.6536335)",52.5898737, 14.6536335
152140020,"GOZDOWICE,Poland",Odra (1),100,"(52.765851, 14.3223027)",52.765851, 14.3223027
152140010,"BIELINEK,Poland",Odra (1),101,"(52.9399076, 14.1486064)",52.9399076, 14.1486064
153140020,"WIDUCHOWA,Poland",Odra (1),110,"(50.4852832, 20.7923885)",50.4852832, 20.7923885
153140030,"GRYFINO,Poland",Odra (1),111,"(53.2535889, 14.4924243)",53.2535889, 14.4924243
153140050,"SZCZECIN-MOST DŁUGI,Poland",Odra (1),112,,None,
153140190,"SZCZECIN-PODJUCHY,Poland",Regalica (1975),113,"(53.3599161, 14.5857672)",53.3599161, 14.5857672
150170160,"BRANICE,Poland",Opawa (112),114,"(50.0687049, 20.1396996)",50.0687049, 20.1396996
150170170,"BRANICE,Poland",Boczne koryto Opawy (112374),115,"(50.0687049, 20.1396996)",50.0687049, 20.1396996
150179997,"OPAWICA,Poland",Opawica (1122),116,"(50.147232, 17.607716)",50.147232, 17.607716
149180130,"ISTEBNA,Poland",Olza (114),120,"(49.5748339, 18.8935401)",49.5748339, 18.8935401
149180060,"CIESZYN,Poland",Olza (114),130,"(49.7488623, 18.6334308)",49.7488623, 18.6334308
149180070,"CIESZYN,Poland",Młynówka (11448),131,"(49.7488623, 18.6334308)",49.7488623, 18.6334308
149180030,"ŁAZISKA,Poland",Olza (114),132,"(52.3331783, 20.0875415)",52.3331783, 20.0875415
